id,firstname,surname,age,job,nationality,bio_paragraph1,bio_paragraph2,bio_paragraph3,description,filter,image,link_url,link_text
23,Estela,de Carlotto,84,Activist,Argentine,"Estela is President of The Grandmothers of the Plaza de Mayo, which reunites biological parents with people snatched as babies in prisons and torture centres by the 1970s’ military junta.","In August 2014, she was reunited with her grandson Ignacio in one of the most emotional scenes of Argentina's recent history. ",,Human rights activist,further_inspiration,Y,,
24,Nkoszana ,Dlamini-Zuma,66,"Chair, African Union Commission",South African,"A trained medical doctor, Nkoszana is the chairwoman of the African Union Commission based in Addis Ababa, Ethiopia.","Initially an ANC activist who spent some of the apartheid years in exile, she went on to enter politics, joining the AU in 2012 and is the first woman to head the organisation.  ",,Groundbreaking politician,further_inspiration,Y,,
25,Isabel,dos Santos,42,Investor,Angolan,Isabel dos Santos is an investor and - according to Forbes - the richest woman in Africa. ,"She is the eldest daughter of Angola's president, Jose Eduardo dos Santos, and has investments in oil and gas, banking, telecoms and media companies.",,Africa's richest woman,further_inspiration,Y,,
26,Leimin,Duong,28,Entrepreneur,Australian,"Leimin established Zeven Lemon Beerworks with no prior industry experience and is on a mission to bring fresh perspective into the beer world, with fruity beers that ""defy convention"". ",The company’s strawberry-flavoured brew has a wide distribution network across Australia. ,Leimin appears in our '30 under 30' strand.,Fruit-flavour beer brewer,thirty_under_thirty,Y,,
27,Ernestina ,Edem Appiah,38,Social entrepreneur,Ghanaian,"Ernestina (Tina) is the founder of the Ghana Code Club, which works to equip Ghanaian children between the ages of 8 and 14 years with coding skills. ","She wants to launch Ghana Code Club in most, if not all, basic schools in Ghana. ",,Coding teacher,further_inspiration,Y,,
28,Aissa ,Edon,33,Midwife,French,Aissa is a midwife who specialises in female genital mutilation (FGM).,"Born in Mali but raised in France, she was subjected to FGM as a child. She currently works in London helping women who may have problems during pregnancy and giving birth as a result of FGM.",Aissa features in our coverage focusing on nursing across the world.,Specialist midwife,nurses,Y,,
29,Jana,el-Hassan,30,Novelist,Lebanese,"An emerging young voice from the Middle East, Jana shook off the constraints of her rural background to publish her first novel Forbidden Desires in 2009 and won the local Simon Hayek Prize. ",Both of her later novels were shortlisted for the International Prize for Arab Fiction in 2013 and 2015. Her work is being translated into English and Italian. ,,Rebel novelist,further_inspiration,Y,,
30,Nawal ,el-Sadaawi,85,Writer,Egyptian,"A world-renowned author of more than 40 books, and a passionate advocate of women's rights in her homeland, her books have been highly influential for Egyptian women. ","Her controversial work Women and Sex, which was banned in Egypt for nearly two decades, raised awareness of female sexuality and female genital mutilation. ",Nawal features in our 'Vintage Ladies' strand. ,Feminist author,vintage_ladies,Y,,
31,Paula,Escobar,47,Magazine editor,Chilean,Paula has been changing the way women are portrayed in the local media by clamping down on Photoshop manipulation. ,"Paula was named a Young Global Leader by the World Economic Forum in 2006, and oversees six weekly magazines. ",Paula is taking part in our 'Is Media Failing Women?' debate.,Magazine editor,further_inspiration,Y,,
32,Monir ,Farmanfarmaian,91,Artist,Iranian,Monir is a contemporary artist who makes intricate geometric sculptures and works on paper in a career spanning 40 years. ,"She spent 26 years in exile in the US as a result of the 1970s Islamic Revolution, returning to Tehran in 2004. ",,Geometric artist,further_inspiration,Y,,
33,Claire,Fox,55,Writer and broadcaster,British,"Claire is a writer, broadcaster and columnist.","She is also the director of the Institute of Ideas, which she set up in order to challenge ""established orthodoxies"" and which organises public debates on controversial topics.",Claire is taking part in our 'Is Media Failing Women?' debate.,Libertarian writer,further_inspiration,Y,,
34,Elissa ,Freiha,25,Entrepreneur,Emirati,Elissa is the co-founder of WOMENA which aims to empower women to invest in tech startups based in the Middle East. ,She was recently named as one of Forbes' Middle East's Inspiring Business Leaders of the UAE. ,Elissa appears in our '30 under 30' strand.  ,Encouraging female investors,thirty_under_thirty,Y,,
35,Uta,Frith,74,Psychologist,German,Uta is Emeritus Professor of Cognitive Development at University College London. ,She is best-known for her work on autism and dyslexia and is currently chairwoman of the Royal Society’s Diversity Committee. , ,Pioneering psychologist,further_inspiration,Y,,
36,Melanie,Goldsmith,26,Entrepreneur,British,Melanie's alcoholic sweets are now sold in high-end London high street stores after she made them for a dating event she ran. ,Her company Smith and Sinclair has created edible cocktails for more than 32 brands of alcohol. ,Melanie appears in our '30 under 30' strand. ,Alcoholic sweet developer,thirty_under_thirty,Y,,
37,Alina ,Gracheva,45,Camerawoman,Moldovan,Alina found herself in a very male-dominated environment when she started her career as a camerawoman 15 years ago. ,"She has covered Chechnya, Afghanistan, Iraq and the Beslan school siege, which had a profound effect on her, and now works for Al Jazeera.",,Filming war zones,further_inspiration,Y,,
38,Megan,Grano,37,Comedian,American,"One third of viral comedy trio The BreakWomb, Megan along with Molly Erdman and Laurel Coppock makes a sketch a week for YouTube about the trials of motherhood. ","Megan is also a writer, actor and director who regularly appears in sketches on American late night talk show Conan. ",,Comedian,further_inspiration,Y,,
39,Alice ,Gray,23,Blogger,British,"Alice Gray graduated from Cardiff University with a BSc in Neuroscience in 2013 and has been blogging ever since. Her blog, mindful.blogspot.co.uk, discusses issues which women face in science, technology, engineering and maths (Stem). ",She aims to improve the number of women in the industry and has been involved in inquiries into Stem education in Wales. ,,"Fights inequality in the sciences
",further_inspiration,Y,,
40,Sara Jane,Ho,29,Entrepreneur,chinese/hong kong,"Sara Jane founded Institute Sarita which runs two etiquette schools in China teaching the importance of manners and etiquette in Chinese culture, especially in the business world. ",She plans to expand her brand into a lifestyle network. ,Sara Jane features in our '30 under 30' strand.,Chinese etiquette teacher,thirty_under_thirty,Y,,
41,Michaela,Hollywood,25,Fundraiser,British,"Michaela, who has the congenital muscle wasting condition Spinal Muscular Atrophy, has been recognised by the UK Prime Minister for her services to young disabled people. ","The student from County Down in Northern Ireland has raised more than £10,000 for charity, but has also encouraged hundreds of others to fundraise themselves.",,Fundraiser for the disabled,further_inspiration,Y,,
42,Ella,Ingram,21,Campaigner,Australian,Ella is challenging an $18.5-billion insurance giant over its decision to reject her travel insurance claim after she was hospitalised at the age of 17 with depression. ,"Her case, an Australian-first, will have ramifications for thousands of others as it tests the lawfulness of discrimination on the grounds of mental illness.",,Mental health campaigner,further_inspiration,Y,,
43,Ayesha ,Ishtiaq,17,Schoolgirl ,Pakistani,Ayesha is a grade 12 student from Islamabad who is passionate about tackling the sexism she sees in her society. ,She conducts feminist and human rights talks with friends and plans to study journalism or women's studies in the US before returning to Pakistan to help others. ,Ayesha appears in our 'good girl' filmmakers strand.,Pakistani schoolgirl,good_girl,Y,,
44,Somayya,Jabarti,44,Newspaper editor,saudi/saudi arabian,"Somayya leads the Saudi Gazette, a Jeddah-based English daily, as Saudi Arabia's first ever female editor in chief. ","It is rare for female journalists to be promoted to such a public position in Saudi Arabia. When she took the job, she said that ""there's a crack that has been made in the glass ceiling. And I'm hoping it will be made into a door"". ",Somayya is taking part in our 'Is Media Failing Women?' debate.,Saudi editor,further_inspiration,Y,,
45,Azza,Jadalla,27,Nurse,Palestinian,Azza is one of the youngest heads of a hospital ward in Gaza City's Shifa practice. ,"The daily challenges of life in Gaza, including electricity cuts and chronic shortages, make her job in the haematology ward especially tough.  ",Azza features in our coverage focusing on nursing across the world.,Nursing in war-torn Gaza,nurses,Y,,
46,Misraa ,Jimaa,,Health extension worker,Ethiopian,Misraa works in a local community after receiving a year's training in preventative health care.,"She helps educate local people about health issues, family planning, vaccinations and nutrition, and works particularly with mothers and young children.",Misraa features in our coverage focusing on nursing across the world.,Health worker,nurses,Y,,
47,Samantha,John,29,Entrepreneur,American,"Samantha is the CTO and co-founder of Hopscotch, a mobile app enabling children to create and share their own mobile games. ",Samantha studied applied maths and then worked as an engineer before realising she preferred programming.,Samantha appears in our '30 under 30' strand.,Kids' game app creator,thirty_under_thirty,Y,,
48,Kamini ,Kaushal,88,Former Bollywood actress,Indian,"The Vivienne Leigh of her generation in Bollywood, Kamini has acted in more than 100 films. ","She was the leading actress in Neecha Nagar, which won best film in Cannes in 1946 - the first Indian film to do so. ",Kamini features in our 'Vintage Ladies' strand. ,Bollywood star,vintage_ladies,Y,,
49,Tahmina ,Kohistani,26,Sprinter,Afghan,"A 100 metres runner, Tahmina was Afghanistan's only representative at the 2012 London Olympics despite facing fierce opposition in her home country. ",She failed to make it to the first round but achieved a personal best in the preliminary trials and has postponed her wedding to take part in next year's Olympics in Brazil. ,,Olympic sprinter,further_inspiration,Y,,
50,Rimppi ,Kumari,32,Farmer,Indian,"Rimppi Kumari is a farmer who, along with her sister Karamjit, took over a 32-acre farm in Rajasthan after their father died. ","She is the boss, and their older brother, who is married with children, takes a back seat role. ",,Farmer,further_inspiration,Y,,
51,Linda ,Kwamboka,27,Entrepreneur,Kenyan,"Linda co-founded MFarm Ltd which aims to empower farmers, both in Kenya and around the globe.","The company provides farmers with a transparency tool which gives them up-to-date market information, aggregates farmers' needs and orders, and connects them so they can sell collectively.",Linda appears in our '30 under 30' strand.  ,Connecting Kenya's farmers,thirty_under_thirty,Y,,
52,Tina,Lavendar,49,Midwife,British,"Dame Tina is one of the world's top experts in midwifery, specialising in prolonged labour and the use of the partograph - a tool designed to help midwives monitor births. ",She acts as an advisor to the World Health Organisation and developed a board game designed to increase the use of the tool in Africa.,Tina features in our coverage focusing on nursing across the world.,Partograph expert,nurses,Y,,
53,Zihan ,Ling,28,Entrepreneur,Chinese,"Zihan is the founder and CEO of TechBase, the first tech accelerator for women-led startups in China. ",She is keen to improve gender equality in the technology industry and has initiated the first Lean In tech mentorship programme in China. ,Zihan appears in our '30 under 30' strand.,Chinese start-up specialist,thirty_under_thirty,Y,,
54,Lt Commander Zimasa,Mabela,38,Naval captain,South African,Zimasa grew up in the rural Eastern Cape of South Africa and did not see the sea until she was 18 years old. ,"Inspired by a navy presentation at university, she applied for and won her first job as a radio control official in 1999. She lives in Cape Town.",,Naval captain,further_inspiration,Y,,
55,Emi ,Mahmoud,22,Poet,Sudanese,"A poet and activist originating from Darfur, Emi Mahmoud is the reigning World Poetry Slam Champion of 2015. ",Emi is currently a senior at Yale University studying Anthropology and Molecular Biology. Her goal is to alleviate structural disparities in maternal and child health and to empower women across the world through poetry and the power of voice.,,Slam poetry champion,further_inspiration,Y,,
56,Catherine,Mahugu,27,Entrepreneur,Kenyan,"The founder of Soko, an e-commerce platform which allows local artisans to sell handcrafted jewellery directly to the consumer. ",Her idea is to promote direct trade between African designers and customers worldwide. ,Catherine features in our '30 under 30' strand.,Handcrafted jewellery seller,thirty_under_thirty,Y,,
57,Amara,Majeed,18,Activist/author,American,Amara wrote The Foreigners in an attempt to eradicate stereotypes about Muslims. ,At 16 she founded The Hijab Project which encourages Muslim and non-Muslim women to try wearing the garment and share their experiences on social media.,,Tackles Muslim stereotypes,further_inspiration,Y,,
58,Nemata ,Majeks-Walker,68,Activist,Sierra Leonean,"In 2001, Nemata founded the 50/50 Group of Sierra Leone. which encourages and empowers the country’s women to participate in politics. ","The organisation became the first African group to win the coveted Madeleine Albright Award, in 2007.",,Political activist,further_inspiration,Y,,
59,Katrine ,Marcal,32,Economist,Swedish,"Katrine is the author of Who Cooked Adam Smith's Dinner?, a feminist view of economics, shortlisted for the August Prize and won the Lagercrantzen Award in Sweden.",She is also the lead editorial writer for the Swedish newspaper Aftonbladet. ,,Feminist economist,further_inspiration,Y,,
60,Karabo,Mathang,28,Entrepreneur,South African,Karabo is South Africa's first Fifa-accredited soccer agent. ,She founded P Management to scout for amateur talents and help them to win professional contracts.,Karabo features in our '30 under 30' strand.,Soccer agent,thirty_under_thirty,Y,,
61,Muniba ,Mazari,28,Artist and anchorwoman.,Pakistani,"Muniba, who lost the use of her legs in a car accident seven and a half years ago, is Pakistan's first wheelchair-bound model and the first wheelchair-bound anchor working for the country’s state channel. ",She began painting while still in hospital and hopes to spread the message of hope through her work.,,Pioneering anchorwoman,further_inspiration,Y,,
62,Jessy ,McCabe,17,Schoolgirl,British,"Jessy is in her final year of school and is currently studying for her A Levels in music, maths and history. ","After realising she was not studying even one female composer as part of her music A Level, she successfully petitioned the largest exam board in the UK to change the syllabus.",,Exam syllabus reformer,further_inspiration,Y,,
63,Sania,Mirza,28,Tennis player,Indian,Sania is currently ranked the world's women's doubles number one. ,She is one of India's most successful tennis players and in 2015 was both the Wimbledon and US Open women's doubles champion. ,Sania features in our '100 Women Interviews' strand. ,Champion tennis player,interviews,Y,,
64,Brit ,Morin,29,Entrepreneur,American,"Brit is the founder and CEO of Brit + Co, a new media and commerce company.",The company aims to enables creativity among women and girls through online classes and do-it-yourself kits.,Brit appears in our '30 under 30' strand.  ,Creating 'geek-chic',thirty_under_thirty,Y,,
65,Smriti ,Nagpal,25,Entrepreneur,Indian,"Smriti was inspired by her work as a sign language interpreter in India, which has the largest deaf population in the world, to set up Atulyakala.","The organisation sells products like bags, mugs, wallets and journals by deaf designers.",Smriti features in our '30 under 30' strand.,Opportunities for the deaf,thirty_under_thirty,Y,,
66,Pauline,Ng,29,Entrepreneur,Singapore,Pauline teamed up with her mother in 2009 to set up an award-winning facial spa called Porcelain. ,It encourages customers to stop wearing foundation so their skin can breathe. ,Pauline appears in our '30 under 30' strand.,Facial spa entrepreneur,thirty_under_thirty,Y,,
67,Delaney,Osborne,17,Schoolgirl,American,Delaney is expecting a baby with her 20-year-old boyfriend in April. ,"She lives with her mum in a small village outside Madison, Wisconsin, and is still at school. ",Delaney appears in our 'good girl' filmmakers strand. ,Teen mum-to-be,good_girl,Y,,
68,Bel,Pesce,26,Entrepreneur,Brazilian,Bel returned to Brazil to launch her own company after graduating from the Massachusetts Institute of Technology.,FazINOVA is a business school offering free online courses. ,Bel features in our '30 under 30' strand.,Online mogul,thirty_under_thirty,Y,,
69,Verashni,Pillay,31,Newspaper editor,South African ,"Verashni is editor-in chief of the Mail & Guardian, South Africa's premier independent investigative publication. ","She also received the CNN African Journalism Award, a Standard Bank Sikuvile Award and an Open Society Foundation journalism fellowship. ",Verashni is taking part in our 'Is Media Failing Women?' debate.,Investigative journalist,further_inspiration,Y,,
70,Irina ,Polyakova,54,Paralympian,Russian,"Three-times world champion in skiing, including Gold-medal winner at the Winter Paralympics in 2006 for the cross-country event. ","Irina is also a medal winner for swimming, biathlon and arm wrestling and a coach. ",,Paralympic skier,further_inspiration,Y,,
71,Elsa ,Prieto,27,Entrepreneur,French,"Technical director and co-founder of Pili Pop, a language learning app for children focused on oral skills and total immersion. ","Pili Pop English has been downloaded more than 500,000 times and the company has just released Pili Pop Español for learning Spanish. ",Elsa appears in our '30 under 30' strand.  ,Kids' language app creator,thirty_under_thirty,Y,,
72,Cristina,Randall,29,Entrepreneur,Canadian,"Cristina moved from Canada to Mexico and founded Conekta, an online payment system. ","It is designed to allow businesses that normally lack access to the usual commercial channels, such as outdoor markets, to move their transactions online.",Cristina features in our '30 under 30' strand.,Takes street markets online,thirty_under_thirty,Y,,
73,Claire ,Reid,29,Entrepreneur,South African,Claire designed Reel Gardening in a bid to simplify gardening.,The company provides biodegradable strips which anchor the seeds at the correct depth and distance apart and so just need to be planted and watered.,Claire appears in our '30 under 30' strand.  ,Simplifying gardening,thirty_under_thirty,Y,,
74,Jenni,Rhodes,83,Textile designer,British,"Jenni is a recently retired model, former actress and fashion designer, she is still working hard. ","At the age of 83, when many people are in comfortable in retirement, she has started a new career as a textile designer. ",Jenni features in our 'Vintage Ladies' strand. ,Fashion designer,vintage_ladies,Y,,
75,Nikita ,Ridgeway,29,Entrepreneur,Australian,"Nikita is the founder and CEO of Dreamtime Ink Australia, the only company specialising in Aboriginal tattoos. 

",She is also the owner of Boss Lady Creative Design Agency which aims to provide Aboriginal designs at affordable prices. ,Nikita features in our '30 under 30' strand.,Tattoo parlour founder,thirty_under_thirty,Y,,
76,Neyda ,Rojas,52,Nun,Venezuelan,"Venezuela has some of the most understaffed, under-resourced and overcrowded jails in the world, and Neyda has been visiting them for 17 years. She is known as ‘the white drop’ - a reference to her nun’s habit.","In addition to teaching History and Maths to the inmates, she has been involved in kidnapping mediation, delivering babies, and helping the sick.",,Fearless nun,further_inspiration,Y,,
77,Lubov ,Russkina,22,Nomad,Russian,"Lubov lives in Surgut, Siberia, and is part of a nomad reindeer tribe that has been in the area since ancient times. 

",Lubov is now facing a common decision that many young girls in her tribe have to confront - to stay as a nomad or to leave for a more urban life. ,Lubov appears in our 'good girl' filmmakers strand.,Reindeer nomad,good_girl,Y,,
78,Rabia ,Salihu Said,52,Physicist,Nigerian,Rabia is a physicist who has been involved with national and local projects which encourage young people to enter the field of science for 30 years. ,"A mother of six, she received the Elsevier award in 2015 for her work on climate and deforestation.",,Physicist championing women,further_inspiration,Y,,
79,Amina ,Sboui,21,Writer and activist,Tunisian,Amina made headlines in 2013 by publishing a topless photograph of herself on Facebook with “my body belongs to me and is not the source of anyone’s honour” written across her torso.,"After being jailed for feminist graffiti Amina went to Paris to study. She has recently returned to Tunisia, where she edits and publishes a feminist magazine.  

",,Feminist activist,further_inspiration,Y,,
80,Lorrana,Scarpioni,24,Entrepreneur,Brazilian,"The founder of Biilive, a sharing economy site which allows people to swap expertise rather than doing jobs for money. ","After a successful launch in Brazil, she is now expanding into Europe. ",Lorrana features in our '30 under 30' strand.,Sharing economy founder,thirty_under_thirty,Y,,
81,Louise ,Schwartz,87,Former showgirl,Jamaican,Louise is a former showgirl who partied with her next door neighbour Hugh Hefner and ran a popular bar in the 1980s open to both gay and straight patrons - unusual for that time in Jamaica. ,"Now in her late 80s, she struggles to make ends meet but still refuses to call it a night.",Louise features in our 'Vintage Ladies' strand. ,Cabaret veteran,vintage_ladies,Y,,
82,Baroness Patricia,Scotland,60,Trade envoy,British,Patricia is a British barrister and former UK attorney general. ,"She was appointed Britain’s first black female Queen’s Counsel in 1991, is currently Britain’s trade envoy to South Africa and is the founder of the Corporate Alliance Against Domestic Violence.",,Tackles domestic violence,further_inspiration,Y,,
83,Mumtaz ,Shaikh,33,Campaigner,Indian,"After decades of women being charged to use urinals in India, despite the fact they are free for men, she succeeded in providing free facilities for women through the Right to Pee network. ",She ensured 96 toilets were free for women to use in Mumbai and made the government set aside 50 million rupees ($770) to build female-only urinals around the city.,,Female toilet campaigner,further_inspiration,Y,,
84,Nareen ,Shammo,28,Activist/journalist,Iraqi,Nareen has dedicated herself to trying to free Yazidi slave women captured by so-called Islamic State militants. ,"The former journalist has saved hundreds of women of the Yazidi population - an ethno-religious group - who were raped, sold on slavery markets and forced to convert to Islam.  ",,Standing up to IS,further_inspiration,Y,,
85,Rasha ,Shehada,29,Manufacturing director,Emirati,"The managing director of Diamond Line FZE, a family-owned hotel equipment supplies business. ",The company started specialising in hotel supplies and now also has a manufacturing plant which produces chafing fuels which can be burned in small canisters and used for heating food.,Rasha features in our '30 under 30' strand.,UAE hotel business director,thirty_under_thirty,Y,,
86,Zuzanna,Stanska,27,Entrepreneur,Polish,Zuzanna runs a creative consultancy for cultural institutions and museums that allows visitors to interact with the art on display via a mobile app. ,"She is also the creator of another app, DailyArt, which gives the user a chance to learn about one art masterpiece a day. ",Zuzanna features in our '30 under 30' strand.,Art app creator,thirty_under_thirty,Y,,
87,Michelle,Sun,29,Entrepreneur,chinese/hong kong,"After a stint in Silicon Valley, Michelle returned home to Hong Kong to found First Code Academy which introduces coding and computer programming into schools.",The academy also provides courses on computer literacy for young children. ,Michelle features in our '30 under 30' strand.,Coding for kids,thirty_under_thirty,Y,,
88,Hilary ,Swank,41,Actor,American,"Hilary is an American actress and producer. She is the winner of two Academy and Golden Globe Awards for Best Actress (Boys Don't Cry, Million Dollar Baby). ","She is renowned for her portrayal of strong, sometimes troubled characters. ",Hilary features in our '100 Women Interviews' strand. ,Hollywood actor,interviews,Y,,
89,Julie,Sygiel,27,Entrepreneur,American,Julie has used her chemical engineering background to develop a patent-pending fabric for knickers which helps protect against menstruation and minor incontinence leaks. ,Dear Kate specialises in high-performance underwear in a range of different styles and colours. ,Julie appears in our '30 under 30' strand. ,Underwear entrepreneur ,thirty_under_thirty,Y,,
90,Rotana,Tarabzouni,26,Singer/songwriter,saudi/saudi arabian,"Rotana came to international prominence two years ago when she leant her voice to the Women's Driving Campaign in Saudi Arabia. 

","Currently living in LA, she sings about the challenges back in Saudi, and the Arab world generally, and is planning to soon go home to face up to her critics. ",,Rebel singer,further_inspiration,Y,,
91,Kanika,Tekriwal,27,Entrepreneur,Indian,"After being diagnosed with cancer in her early 20s, Kanika was determined to make her mark. ",She established India’s first and only marketplace for private jet and helicopter charters. ,Kanika features in our '30 under 30' strand.,Creator of JetSetGo,thirty_under_thirty,Y,,
92,Lizanne ,Teo,21,Entrepreneurs,Singapore,"Lizanne is the co-founder of Upsurge, an events company specialising in rock concerts. ","Upsurge handles every aspect of the business, from logistics and operations to production and public relations, despite being a start-up with limited financial resources. ",Lizanne appears in our '30 under 30' strand.,Rock concert organiser,thirty_under_thirty,Y,,
93,Jana ,Tepe,29,Entrepreneur,German,"Jana is founder and CEO of Tandemploy, a job-sharing platform.",It is designed to allow people interested in job sharing to find their counterparts and get in touch with companies offering job sharing opportunities. ,Jana appears in our '30 under 30' strand. ,Helping job-sharers find each other,thirty_under_thirty,Y,,
94,Li,Tingting,26,Campaigner,Chinese,"Li was detained earlier this year and is still on probation. She has staged many high-profile campaigns, including parading the streets in a wedding dress splashed with fake blood to increase awareness of domestic violence.",In April she and her gay partner held an unofficial wedding ceremony even though gay marriage is prohibited in China. ,,Feminist on probation,further_inspiration,Y,,
